Time (s),X (km),Y (km),Z (km)
0.000100000000,-19946.988447570238,11684.423087724550,43511.217154678161
9.209210003068,-19954.383928390711,11668.191988161980,43513.053232960941
36.742341055588,-19976.461085226183,11619.645068912168,43518.469346673126
82.316865974682,-20012.893651882823,11539.222804809297,43527.192883823052
145.465128462495,-20063.145898066941,11427.657541390952,43538.782530472956
225.539141892649,-20126.484184127865,11285.971217688540,43552.647187812734
321.717238529897,-20201.992787955918,11115.471502515600,43568.071365819625
433.012500952982,-20288.593475581602,10917.746139946947,43584.245973876779
558.282889162890,-20385.068259491662,10694.655078790260,43600.303226302138
696.242959458668,-20490.084695914131,10448.319956084355,43615.354212843376
845.477054829277,-20602.222997867619,10181.110540698299,43628.527577151210
1004.453831510218,-20720.004187581126,9895.627817475559,43639.007703583193
1171.541972642794,-20841.918482546942,9594.683499562238,43646.070835157101
1345.026927792602,-20966.453106009940,9281.275888654058,43649.117631177411
1523.128506557154,-21092.118736466135,8958.562150319494,43647.700817727455
1704.019145728380,-21217.473862243263,8629.827223927250,43641.546781529556
1885.842662564240,-21341.146385997581,8298.449733677187,43630.570199596375
2066.733301735466,-21461.851928436936,7967.865399257989,43614.881074248973
2244.834880500017,-21578.408408077456,7641.528553637690,43594.783845054131
2418.319835649826,-21689.746620485101,7322.872455304462,43570.768564897531
2585.407976782402,-21794.916701204376,7015.269129097352,43543.494445167271
2744.384753463343,-21893.090525311269,6721.989482280684,43513.766383090362
2893.618848833951,-21983.560266187251,6446.164421913846,43482.505370950639
3031.578919129728,-22065.733498946218,6190.747649397057,43450.713940934977
3156.849307339638,-22139.125381846596,5958.480733908704,43419.438010194164
3268.144569762723,-22203.348573944932,5751.860975407878,43389.726649047072
3364.322666399971,-22258.101641727699,5573.112467987976,43362.591393433133
3444.396679830124,-22303.156765148968,5424.160673849472,43338.966755188543
3507.544942317937,-22338.347569743211,5306.610724633961,43319.673547510829
3553.119467237032,-22363.557883790709,5221.729586603731,43305.386538045910
3580.652598289552,-22378.712147970757,5170.432163452686,43296.607771509545
3589.861808292620,-22383.768092394926,5153.271367255421,43293.646673992327
3589.861808292620,-22383.768092394926,5153.271367255421,43293.646673992327
3599.071018295688,-22388.817609338239,5136.109091300575,43290.673144055763
3626.604149348208,-22403.875988234129,5084.789593124225,43281.708910464840
3672.178674267302,-22428.675074892340,4999.813781546634,43266.626480774197
3735.326936755114,-22462.775745679155,4882.012864168752,43245.224675240803
3815.400950185268,-22505.579357321356,4732.542752742129,43217.245051230529
3911.579046822516,-22556.343282878574,4552.875979154386,43182.393846492043
4022.874309245602,-22614.200055699250,4344.790907289374,43140.368443604450
4148.144697455509,-22678.179528682587,4110.358013417923,43090.887146009998
4286.104767751287,-22747.233358045742,3851.923025489396,43033.720894269762
4435.338863121897,-22820.261042365408,3572.086760302795,42968.725445825825
4594.315639802838,-22896.136691978962,3273.681574888352,42895.872496540200
4761.403780935413,-22973.735673576313,2959.744449867298,42815.278239128209
4934.888736085222,-23051.960272179491,2633.486841324122,42727.227931507041
5112.990314849773,-23129.763539261490,2298.261565534141,42632.195184050768
5293.880954021000,-23206.170552297797,1957.527108576781,42530.854863839086
5475.704470856859,-23280.296397461181,1614.809871094459,42424.088749506176
5656.595110028085,-23351.360302284713,1273.664958416456,42312.983344030072
5834.696688792636,-23418.695486547876,937.636200334017,42198.819555224072
6008.181643942446,-23481.754463685091,610.216127141440,42083.054274166134
6175.269785075021,-23540.109706572584,294.806635574985,41967.294208798980
6334.246561755963,-23593.449784113891,-5.318950957368,41853.262651250239
6483.480657126571,-23641.571270789500,-287.051787074440,41742.760160485908
6621.440727422349,-23684.366921329023,-547.480827553672,41637.620414135235
6746.711115632257,-23721.810777213221,-783.923135083057,41539.662712580284
6858.006378055343,-23753.941020877755,-993.950870541749,41450.642793554020
6954.184474692591,-23780.841507717960,-1175.414793792428,41372.203727021857
7034.258488122744,-23802.622976868159,-1326.464225348398,41305.828700778904
7097.406750610557,-23819.404962744968,-1445.563522663218,41252.797472602739
7142.981275529652,-23831.299396650691,-1531.505200763748,41214.148153974806
7170.514406582171,-23838.396800720264,-1583.419869995947,41190.645806077060
7179.723616585239,-23840.755838160359,-1600.783171917465,41182.759077590577
7179.723616585239,-23840.755838160359,-1600.783171917465,41182.759077590577
7188.932826588307,-23843.107409376720,-1618.145972520475,41174.859451123346
7216.465957640828,-23850.093432158155,-1670.053163004223,41151.164690914738
7262.040482559922,-23861.510179910558,-1755.962765199146,41111.690165592416
7325.188745047734,-23877.025851681454,-1874.977020077072,41056.471377446462
7405.262758477887,-23896.191920815418,-2025.850755827073,40985.578279102694
7501.440855115136,-23918.458497123414,-2207.003212260629,40899.134307878565
7612.736117538221,-23943.193192573559,-2416.533400890943,40797.339177831214
7738.006505748130,-23969.702857498232,-2652.239063308865,40680.494262885557
7875.966576043907,-23997.257448140888,-2911.639249361037,40549.029244647259
8025.200671414516,-24025.115200539043,-3192.000470867264,40403.528591960647
8184.177448095457,-24052.548223575883,-3490.366298326044,40244.756390361843
8351.265589228033,-24078.867588580379,-3803.590161672729,40073.678050644397
8524.750544377843,-24103.446986799081,-4128.370998115436,39891.477497077307
8702.852123142393,-24125.744051596695,-4461.291268428715,39699.568565691523
8883.742762313619,-24145.318500905672,-4798.856746953716,39499.599527874961
9065.566279149480,-24161.846347938888,-5137.537389502792,39293.449888872543
9246.456918320706,-24175.129554135136,-5473.808506710699,39083.218887555428
9424.558497085256,-24185.100656046707,-5804.191426435360,38871.205434232528
9598.043452235066,-24191.822084167259,-6125.292824158665,38659.879557025313
9765.131593367641,-24195.480101525256,-6433.841939056216,38451.845772680892
9924.108370048583,-24196.373516304309,-6726.724976441941,38249.799141708492
10073.342465419191,-24194.897556920154,-7001.016121961004,38056.475096506554
10211.302535714971,-24191.523529211536,-7254.004752633574,37874.594430337420
10336.572923924878,-24186.775091586016,-7483.218614279759,37706.805090331953
10447.868186347963,-24181.202172176341,-7686.442930343480,37555.622615720793
10544.046282985211,-24175.353699415056,-7861.735597734734,37423.371191401049
10624.120296415364,-24169.750412100169,-8007.438794196126,37312.127337480735
10687.268558903177,-24164.859047407190,-8122.187452911105,37223.668221669468
10732.843083822272,-24161.069169158243,-8204.915140430061,37159.426461385367
10760.376214874792,-24158.673792062455,-8254.857894906529,37120.453078782572
10769.585424877860,-24157.854783616927,-8271.556540514610,37107.389991740311
10769.585424877860,-24157.854783616927,-8271.556540514610,37107.389991740311
10778.794634880927,-24157.026840249779,-8288.252126839334,37094.313179422912
10806.327765933447,-24154.498171770694,-8338.149242715686,37055.135042917384
10851.902290852542,-24150.136639926641,-8420.681194763301,36990.015146056139
10915.050553340354,-24143.729855086433,-8534.910947737928,36899.228157325822
10995.124566770508,-24134.996651752612,-8679.542304116771,36783.176436869915
11091.302663407756,-24123.602589503062,-8852.935541666187,36642.406665903101
11202.597925830842,-24109.178929936188,-9053.127468577219,36477.629571847079
11327.868314040750,-24091.344405171840,-9277.855808999811,36289.741595451298
11465.828384336528,-24069.728974957099,-9524.587763235993,36079.847183587335
11615.062479707136,-24043.998671150195,-9790.552496332806,35849.280279981729
11774.039256388078,-24013.880554018539,-10072.777198549191,35599.623530926830
11941.127397520653,-23979.186758052125,-10368.126235727112,35332.723727309422
12114.612352670461,-23939.836589414117,-10673.342773806684,35050.702069675572
12292.713931435013,-23895.875656041240,-10985.092128423770,34755.957969246010
12473.604570606240,-23847.491067662872,-11300.005968153568,34451.165282688831
12655.428087442098,-23795.021838847759,-11614.726399988858,34139.260118003680
12836.318726613325,-23738.963764810858,-11925.948899840090,33823.419637019804
13014.420305377877,-23679.968216892972,-12230.463030375826,33507.031608591664
13187.905260527685,-23618.834520244873,-12525.189922847885,33193.654825263497
13354.993401660260,-23556.495825835584,-12807.215595224698,32886.970872467959
13513.970178341202,-23493.998665236089,-13073.819338388861,32590.728118744730
13663.204273711810,-23432.476669480689,-13322.496622438635,32308.679161882366
13801.164344007588,-23373.119229452397,-13550.976247196200,32044.513302150448
13926.434732217496,-23317.136158800797,-13757.231769287484,31801.785902557207
14037.729994640582,-23265.719673601561,-13939.487560926384,31583.846720886493
14133.908091277830,-23220.005207312068,-14096.220166311172,31393.769444743470
14213.982104707982,-23181.032717402919,-14226.155891286640,31234.284717820789
14277.130367195796,-23149.710196322274,-14328.265762178096,31107.718906214010
14322.704892114891,-23126.781063614741,-14401.759096189497,31015.940715998029
14350.238023167411,-23112.796983600765,-14446.076922037557,30960.317540931250
14359.447233170478,-23108.097426791323,-14460.886369970598,30941.683100876322
14359.447233170478,-23108.097426791323,-14460.886369970598,30941.683100876322
14368.656443173546,-23103.386730748014,-14475.688847047521,30923.033744257726
14396.189574226066,-23089.236475319227,-14519.902681179427,30867.188043655606
14441.764099145161,-23065.594656588131,-14592.950013971380,30774.455499588177
14504.912361632973,-23032.382838854766,-14693.877509910944,30645.359774119319
14584.986375063127,-22989.508200567681,-14821.370944694803,30480.649919924337
14681.164471700375,-22936.879783634413,-14973.775507598510,30281.315094189416
14792.459734123460,-22874.428344349202,-15149.121668427055,30048.601793617334
14917.730122333369,-22802.129051416330,-15345.156379163513,29784.032431699568
15055.690192629147,-22720.026138650268,-15559.379276065185,29489.423907321012
15204.924287999755,-22628.258500761807,-15789.083418960025,29166.904692015218
15363.901064680696,-22527.085124395828,-16031.399952748032,28818.928897939186
15530.989205813272,-22416.909177862159,-16283.345906315153,28448.285784758991
15704.474160963080,-22298.299546755628,-16541.874163938282,28058.103224569935
15882.575739727632,-22172.008604148814,-16803.924464582811,27651.843771536922
16063.466378898858,-22038.985048598966,-17066.474119006627,27233.292177054271
16245.289895734715,-21900.380735916991,-17326.586999601572,26806.533449554714
16426.180534905943,-21757.550575793095,-17581.459271605247,26375.920875617441
16604.282113670495,-21612.044764754144,-17828.460315583754,25946.033787567398
16777.767068820303,-21465.592882976482,-18065.167357831364,25521.625270635635
16944.855209952879,-21320.079691310049,-18289.392492289393,25107.560434603274
17103.831986633821,-21177.512819359712,-18499.201053680579,24708.746311831204
17253.066082004429,-21039.982923530701,-18692.920687071641,24330.054864038808
17391.026152300205,-20909.617298204292,-18869.140943051090,23976.240960937179
17516.296540510113,-20788.528321288195,-19026.703786086713,23651.857511868948
17627.591802933202,-20678.758480935001,-19164.685998835936,23361.170166325384
17723.769899570449,-20582.224034752951,-19282.375047698970,23108.074134496535
17803.843913000601,-20500.659568285155,-19379.240487180006,22896.015705084890
17866.992175488413,-20435.565821296168,-19454.903363292924,22727.920952090444
17912.566700407508,-20388.163120445697,-19509.106276090239,22606.133930168624
17940.099831460029,-20359.352586539968,-19541.686739828066,22532.366370846747
17949.309041463097,-20349.686976258366,-19552.556219950809,22507.660525215430
17949.309041463097,-20349.686976258366,-19552.556219950809,22507.660525215430
17958.518251466165,-20340.006740858404,-19563.411647842182,22482.938501913275
17986.051382518686,-20310.978028952264,-19595.782479212598,22408.929604058321
18031.625907437778,-20262.639614351803,-19649.086313281365,22286.107548900251
18094.774169925593,-20195.065324976793,-19722.365645991402,22115.269044065662
18174.848183355745,-20108.377507385565,-19814.307529985974,21897.544007357290
18271.026279992995,-20002.765194739801,-19923.270910013296,21634.408794895102
18382.321542416077,-19878.506303682490,-20047.321406834435,21327.701398632049
18507.591930625986,-19735.993004776814,-20184.273205169720,20979.637335166801
18645.552000921765,-19575.759240478368,-20331.737547916757,20592.824751547487
18794.786096292373,-19398.509207856678,-20487.177146254857,20170.277129561349
